text{ key = "igor_answers.chapter11_answer1", value = "18" }
text{ key = "igor_answers.chapter12_answer1", value = "roxygen2" }
text{ key = "igor_answers.chapter13_answer1", value = "owari" }
text{ key = "igor_answers.chapter1_answer1", value = "24" }
text{ key = "igor_answers.chapter2_answer1", value = "Kokot" }
text{ key = "igor_answers.chapter3_answer1", value = "Galia" }
text{ key = "igor_answers.chapter4_answer1", value = "777" }
text{ key = "igor_answers.chapter5_answer1", value = "10" }
text{ key = "igor_answers.chapter6_answer1", value = "59" }
text{ key = "igor_answers.chapter9_answer1", value = "Hylia" }
text{ key = "options_menu.back", value = "BACK" }
text{ key = "options_menu.language", value = "LANGUAGE" }
text{ key = "options_menu.music_volume", value = "MUSIC" }
text{ key = "options_menu.sound_volume", value = "SOUND" }
text{ key = "options_menu.title", value = "OPTIONS" }
text{ key = "pause.commands.action", value = "Action" }
text{ key = "pause.commands.action_to_configure", value = "Press Action to change this command" }
text{ key = "pause.commands.commands", value = "Commands" }
text{ key = "pause.commands.down", value = "Down" }
text{ key = "pause.commands.fullscreen", value = "Full screen" }
text{ key = "pause.commands.item", value = "Use item" }
text{ key = "pause.commands.joypad", value = "Joypad" }
text{ key = "pause.commands.keyboard", value = "Keyboard" }
text{ key = "pause.commands.left", value = "Left" }
text{ key = "pause.commands.look", value = "Look around" }
text{ key = "pause.commands.map", value = "Map" }
text{ key = "pause.commands.monsters", value = "Monsters Defeated" }
text{ key = "pause.commands.pause", value = "Pause" }
text{ key = "pause.commands.press_new_key", value = "Press new key" }
text{ key = "pause.commands.right", value = "Right" }
text{ key = "pause.commands.run", value = "Run" }
text{ key = "pause.commands.save", value = "Save" }
text{ key = "pause.commands.sword", value = "Sword" }
text{ key = "pause.commands.title", value = "COMMANDS" }
text{ key = "pause.commands.up", value = "Up" }
text{ key = "pause.inventory.defense", value = "DEFENSE" }
text{ key = "pause.inventory.force", value = "FORCE" }
text{ key = "pause.inventory.life", value = "LIFE" }
text{ key = "pause.inventory.magic", value = "MAGIC" }
text{ key = "pause.inventory.runes", value = "RUNES :" }
text{ key = "pause.inventory.status", value = "STATUS :" }
text{ key = "pause.inventory.time", value = "TIME" }
text{ key = "pause.monsters.title", value = "MONSTERS" }
text{ key = "records_menu.100_percent_rank", value = "100% RANK" }
text{ key = "records_menu.back", value = "BACK" }
text{ key = "records_menu.best_time", value = "BEST TIMES :" }
text{ key = "records_menu.clear", value = "CLEAR" }
text{ key = "records_menu.clear_question", value = "CLEAR ?" }
text{ key = "records_menu.no", value = "NO" }
text{ key = "records_menu.rank_100_percent", value = "RANK : Statis Hero$Complete the game to 100%" }
text{ key = "records_menu.rank_speed", value = "RANK : Statis Maratonian$Complete the game in less than$two hours" }
text{ key = "records_menu.rank_ultimate", value = "RANG : Show-off$Complete the game without  dying$with 10 hearts max" }
text{ key = "records_menu.speed_rank", value = "SPEED RANK" }
text{ key = "records_menu.title", value = "RECORDS" }
text{ key = "records_menu.ultimate_rank", value = "ULTIMATE RANK" }
text{ key = "records_menu.yes", value = "YES" }
text{ key = "savegames_menu.cancel", value = "CANCEL" }
text{ key = "savegames_menu.delete", value = "DELETE" }
text{ key = "savegames_menu.delete_question", value = "DELETE ?" }
text{ key = "savegames_menu.explications", value = "Enter space bar to valid" }
text{ key = "savegames_menu.load", value = "LOAD" }
text{ key = "savegames_menu.no", value = "NO" }
text{ key = "savegames_menu.options", value = "OPTIONS" }
text{ key = "savegames_menu.records", value = "RECORDS" }
text{ key = "savegames_menu.title", value = "SELECTION SCREEN" }
text{ key = "savegames_menu.yes", value = "YES" }
text{ key = "selection_menu.empty", value = "empty" }
text{ key = "selection_menu.erase", value = "Erase" }
text{ key = "selection_menu.phase.choose_name", value = "Enter answer" }
text{ key = "selection_menu.phase.select_answer", value = "Enter your(s) answer(s)" }
text{ key = "selection_menu.title", value = "SCORES :" }
text{ key = "selection_menu.valid", value = "Valid" }
text{ key = "stats_menu.death_count", value = "Mort $v fois" }
text{ key = "stats_menu.extras", value = "Passages optionnels :" }
text{ key = "stats_menu.game_time", value = "Temps de jeu :" }
text{ key = "stats_menu.monsters", value = "Types d'ennemis vaincus :" }
text{ key = "stats_menu.percent", value = "Vous avez fini ce jeu à $v%, félicitations !" }
text{ key = "stats_menu.pieces_of_heart", value = "Quarts de coeur obtenus :" }
text{ key = "stats_menu.rank", value = "RANG :" }
text{ key = "stats_menu.rank.completion.1", value = "niveau : Héros de Statis" }
text{ key = "stats_menu.rank.completion.2", value = "niveau : Perfectionniste" }
text{ key = "stats_menu.rank.completion.3", value = "niveau : Fan d'icaRius" }
text{ key = "stats_menu.rank.completion.4", value = "niveau : Pro du clavier" }
text{ key = "stats_menu.rank.completion.5", value = "niveau : Confirmé" }
text{ key = "stats_menu.rank.completion.6", value = "niveau : Débutant" }
text{ key = "stats_menu.rank.speed.1", value = "vitesse : Flash Gordon" }
text{ key = "stats_menu.rank.speed.2", value = "vitesse : Marathonien de Statis" }
text{ key = "stats_menu.rank.speed.3", value = "vitesse : Tortue" }
text{ key = "stats_menu.rank.ultimate", value = "Frimeur" }
text{ key = "stats_menu.title", value = "STATISTIQUES" }
text{ key = "title_screen.start_button", value = "Hit Space bar" }
