text{ key = "dungeon_1.name", value = "Temple de la forêt" }
text{ key = "dungeon_2.name", value = "Temple de l'eau" }
text{ key = "dungeon_3.name", value = "Temple de la montagne" }
text{ key = "dungeon_4.name", value = "Temple du désert" }
text{ key = "dungeon_5.name", value = "Temple de l'ombre" }
text{ key = "dungeon_6.name", value = "Temple du Feu" }
text{ key = "dungeon_7.name", value = "Temple de la Glace" }
text{ key = "dungeon_8.name", value = "Temple secret" }
text{ key = "igor_answers.chapter11_answer1", value = "18" }
text{ key = "igor_answers.chapter12_answer1", value = "12" }
text{ key = "igor_answers.chapter13_answer1", value = "99" }
text{ key = "igor_answers.chapter1_answer1", value = "24" }
text{ key = "igor_answers.chapter2_answer1", value = "Kokot" }
text{ key = "igor_answers.chapter3_answer1", value = "Galia" }
text{ key = "igor_answers.chapter4_answer1", value = "777" }
text{ key = "igor_answers.chapter5_answer1", value = "10" }
text{ key = "igor_answers.chapter6_answer1", value = "59" }
text{ key = "igor_answers.chapter9_answer1", value = "Hylia" }
text{ key = "options_menu.back", value = "RETOUR" }
text{ key = "options_menu.language", value = "LANGUE" }
text{ key = "options_menu.music_volume", value = "MUSIQUE" }
text{ key = "options_menu.sound_volume", value = "SON" }
text{ key = "options_menu.title", value = "OPTIONS" }
text{ key = "pause.commands.action", value = "Action" }
text{ key = "pause.commands.action_to_configure", value = "Appuie sur Action pour changer cette commande" }
text{ key = "pause.commands.commands", value = "Commandes" }
text{ key = "pause.commands.down", value = "Bas" }
text{ key = "pause.commands.fullscreen", value = "Plein écran" }
text{ key = "pause.commands.item", value = "Utiliser objet" }
text{ key = "pause.commands.joypad", value = "Joypad" }
text{ key = "pause.commands.keyboard", value = "Clavier" }
text{ key = "pause.commands.left", value = "Gauche" }
text{ key = "pause.commands.look", value = "Regarder autour" }
text{ key = "pause.commands.map", value = "Carte" }
text{ key = "pause.commands.monsters", value = "Monstres vaincus" }
text{ key = "pause.commands.pause", value = "Pause" }
text{ key = "pause.commands.press_new_key", value = "Appuie sur la nouvelle touche" }
text{ key = "pause.commands.right", value = "Droite" }
text{ key = "pause.commands.run", value = "Courir" }
text{ key = "pause.commands.save", value = "Sauvegarder" }
text{ key = "pause.commands.sword", value = "Epée" }
text{ key = "pause.commands.title", value = "COMMANDES" }
text{ key = "pause.commands.up", value = "Haut" }
text{ key = "pause.inventory.defense", value = "DEFENSE" }
text{ key = "pause.inventory.force", value = "FORCE" }
text{ key = "pause.inventory.life", value = "VIE" }
text{ key = "pause.inventory.magic", value = "MAGIE" }
text{ key = "pause.inventory.runes", value = "RUNES :" }
text{ key = "pause.inventory.status", value = "STATUT :" }
text{ key = "pause.inventory.time", value = "TEMPS" }
text{ key = "pause.monsters.title", value = "MONSTRES" }
text{ key = "records_menu.100_percent_rank", value = "RANG DES 100%" }
text{ key = "records_menu.back", value = "RETOUR" }
text{ key = "records_menu.best_time", value = "MEILLEUR TEMPS :" }
text{ key = "records_menu.clear", value = "EFFACER" }
text{ key = "records_menu.clear_question", value = "EFFACER ?" }
text{ key = "records_menu.no", value = "NON" }
text{ key = "records_menu.rank_100_percent", value = "RANG : Héros de Statis$Finir le jeu à 100%." }
text{ key = "records_menu.rank_speed", value = "RANG : Marathonien de Statis$Finir le jeu en moins de$deux heures." }
text{ key = "records_menu.rank_ultimate", value = "RANG : Frimeur$Finir le jeu sans mourir,$avec 10 coeurs au maximum." }
text{ key = "records_menu.speed_rank", value = "RANG DE RAPIDITE" }
text{ key = "records_menu.title", value = "RECORDS" }
text{ key = "records_menu.ultimate_rank", value = "RANG ULTIME" }
text{ key = "records_menu.yes", value = "OUI" }
text{ key = "savegames_menu.cancel", value = "ANNULER" }
text{ key = "savegames_menu.delete", value = "EFFACER" }
text{ key = "savegames_menu.delete_question", value = "EFFACER ?" }
text{ key = "savegames_menu.explications", value = "Touche espace pour valider" }
text{ key = "savegames_menu.load", value = "CHARGER" }
text{ key = "savegames_menu.no", value = "NON" }
text{ key = "savegames_menu.options", value = "OPTIONS" }
text{ key = "savegames_menu.records", value = "RECORDS" }
text{ key = "savegames_menu.title", value = "ECRAN DE SELECTION" }
text{ key = "savegames_menu.yes", value = "OUI" }
text{ key = "selection_menu.answer1", value = "24" }
text{ key = "selection_menu.answer2", value = "bbb" }
text{ key = "selection_menu.answer3", value = "ccc" }
text{ key = "selection_menu.empty", value = "vide" }
text{ key = "selection_menu.erase", value = "Effacer" }
text{ key = "selection_menu.phase.choose_name", value = "Tapez la réponse" }
text{ key = "selection_menu.phase.select_answer", value = "Renseignez la (les) réponse(s)" }
text{ key = "selection_menu.title", value = "SCORES :" }
text{ key = "selection_menu.valid", value = "Valider" }
text{ key = "stats_menu.death_count", value = "Mort $v fois" }
text{ key = "stats_menu.game_time", value = "Temps de jeu :" }
text{ key = "stats_menu.items", value = "Objets :" }
text{ key = "stats_menu.monsters", value = "Types d'ennemis vaincus :" }
text{ key = "stats_menu.percent", value = "Tu as fini ce jeu à $v%, félicitations !" }
text{ key = "stats_menu.pieces_of_heart", value = "Quarts de coeur :" }
text{ key = "stats_menu.rank", value = "RANG :" }
text{ key = "stats_menu.rank.completion.1", value = "Héros de Statis" }
text{ key = "stats_menu.rank.completion.2", value = "Perfectionniste" }
text{ key = "stats_menu.rank.completion.3", value = "Fan de Zelda" }
text{ key = "stats_menu.rank.completion.4", value = "Pro du clavier" }
