map{ id = "caves/exit_challenge" }
map{ id = "caves/fairy_lake", description = "Lake Fairy Cave" }
map{ id = "caves/medallion_cave/1f", description = "Medallion cave 1F" }
map{ id = "caves/medallion_cave/b1", description = "Medallion cave B1" }
map{ id = "caves/secret_passage/tunnel", description = "Tunnel" }
map{ id = "ending/ending_1", description = "The end - Part1" }
map{ id = "ending/ending_2", description = "The end - Part2" }
map{ id = "enemy_store", description = "Enemy Store" }
map{ id = "extra_dungeons/extra_1/1f", description = "Extra Dungeon 1 1F" }
map{ id = "extra_dungeons/extra_1/b1", description = "Extra Dungeon 1 B1" }
map{ id = "extra_dungeons/extra_2/1f", description = "Extra Dungeon 2 1F" }
map{ id = "extra_dungeons/extra_2/2f", description = "Extra Dungeon 2 2F" }
map{ id = "extra_dungeons/extra_3/1f", description = "Extra Dungeon 3 1F" }
map{ id = "houses/icarius_house", description = "Icarius house" }
map{ id = "houses/icarius_house_bis", description = "Icarius house bis" }
map{ id = "houses/tiny_house", description = "Tiny House" }
map{ id = "houses/tree_house", description = "Tree house" }
map{ id = "inside_store", description = "Inside Store" }
map{ id = "intro", description = "Intro" }
map{ id = "kokoro/broom_grandma_house", description = "Broom Grandma's house" }
map{ id = "kokoro/chest_game", description = "Chest game" }
map{ id = "kokoro/farm", description = "Farm" }
map{ id = "kokoro/potion_house", description = "Potion house" }
map{ id = "outside/kokoro", description = "Kokoro Village" }
map{ id = "outside/outA", description = "Out A (Forest)" }
map{ id = "outside/outB", description = "Out B (Plains)" }
map{ id = "outside/outC", description = "Out C (Maze-Desert)" }
map{ id = "outside/outC_extra", description = "Out C Extra (Maze-Desert)" }
map{ id = "outside/outC_intro", description = "Out C Intro (Maze-Desert)" }
map{ id = "outside/outD", description = "Out D (Desert)" }
map{ id = "outside/outE", description = "OutE (GrissGrass Village)" }
map{ id = "outside/outF", description = "Outside F (Castle)" }
map{ id = "outside/outF1", description = "Outside F1 (Before Castle)" }
map{ id = "outside/outG", description = "Outside G (Mountains)" }
map{ id = "outside/outH", description = "Outside H (Lake)" }
map{ id = "outside/outH_extra", description = "Outside H Extra (Lake)" }
map{ id = "outside/outI", description = "Outside I (Ruins)" }
map{ id = "outside/outJ", description = "Outisde J (Mist Forest)" }
map{ id = "outside/outK", description = "Outside K (Fortune Teller)" }
map{ id = "outside/outL", description = "Outside L (Grave)" }
map{ id = "outside_store", description = "Outside Store" }
map{ id = "rune_1/monster", description = "Rune 1 - Monster" }
map{ id = "rune_2/monster", description = "R2 - Monster" }
map{ id = "rune_3/1f", description = "R3 - Castle 1F" }
map{ id = "rune_3/2f", description = "R3 - Castle 2F" }
map{ id = "rune_4/1f", description = "R4 Stone Dungeon 1F" }
map{ id = "rune_4/b1", description = "R4 Stone Dungeon B1" }
map{ id = "rune_4/b2", description = "R4 Stone Dungeon B2" }
map{ id = "rune_5/1f", description = "Dungeon Rune 5 1F" }
map{ id = "rune_5/b1", description = "Dungeon Rune 5 B1" }
map{ id = "rune_5/b2", description = "Dungeon Rune 5 B2" }
map{ id = "rune_6/1f", description = "Ice Dungeon 1F" }
map{ id = "rune_6/2f", description = "Ice Dungeon 2F" }
map{ id = "rune_7/1f", description = "Final Dungeon 1F" }
map{ id = "rune_7/2f", description = "Final Dungeon 2F" }
map{ id = "village_grissgrass/chef_village", description = "Chef du village" }
map{ id = "village_grissgrass/ferme_1", description = "Ferme Kitai" }
map{ id = "village_grissgrass/ferme_2", description = "Ferme Jibun" }
map{ id = "village_sandia/chest_game", description = "Chest game" }
map{ id = "village_sandia/secret_passage", description = "Passage secret" }

tileset{ id = "cave", description = "Cave" }
tileset{ id = "dungeon_blue", description = "Dungeon (blue)" }
tileset{ id = "dungeon_gray", description = "Special Dungeon (gray)" }
tileset{ id = "dungeon_grayblue", description = "Dungeon (gray-blue)" }
tileset{ id = "dungeon_graybrown", description = "Dungeon (gray-brown)" }
tileset{ id = "house", description = "House" }
tileset{ id = "ice_brightblue", description = "Ice (bright blue)" }
tileset{ id = "ice_brown", description = "Ice (brown)" }
